section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
education,TRUE,"PhD. Candidate, Evolutionary Biology",Arizona State University,"AZ, USA",2020,present,Working on the genetic basis of foraging behavior and its connection to the life history,NA,
education,TRUE,"M.S., Evolutionary Biology",Arizona State University (ASU),"AZ, USA",2020,2023,NA,NA,
education,TRUE,"M.S., Ecology and Evolution",Federal University of Sao Paulo (UNIFESP),"Sao Paulo, Brazil",2017,2019,Thesis: Effects of food intake and hydratation state on behavioral thermoregulation and locomotor activity in the tropidurid lizard _Tropidurus catalanensis_,NA,
education,TRUE,"B.S., Biology",Universidad del Atlantico,"Barranquilla, Colombia",2010,2016,Thesis: Color variation in the pitviper _Porthidium lansbergii_ and its role on the thermorregulatory capacity,NA,
research_positions,TRUE,Consultant,"Dreamscape Learn, Inc., a Delaware corporation","AZ, USA",2023,2024,"Consultant to provide data set validation including but not limited to building parameters for Alien Zoo Biology student data sets, and create formulas for data sets to allow instructors to automatically update data based on pre-existing parameters",NA,NA
research_positions,TRUE,Intern,Smithsonian Tropical Research Institute (STRI),"Gamboa, Panama",2019,2019,The genomic basis of thermal adaptation: a large-scale transplant experiment in the Panama Canal,NA,NA
research_positions,TRUE,Exchange Student,"School of Life Sciences, Arizona State University","AZ, USA",2018,2019,NA,NA,NA
research_positions,TRUE,Intern,Grupo Herpetologico de Antioquia (GHA),"Medellin, Colombia",2013,2015,Monitoring the terrestrial vertebrate fauna in the Jaguas and San Carlos hydroelectric power plants in eastern Antioquia. Inter-institutional agreement between the University of Antioquia and ISAGEN,,
teaching_positions,TRUE,BIO 345: Evolution,Arizona State University,"AZ, USA",2022,2022,Served as TA during Fall 2022 term,,
teaching_positions,TRUE,BIO 320: Fundamentals of Ecology,Arizona State University,"AZ, USA",2022,2022,Served as TA during Summer 2022 term,,
teaching_positions,TRUE,BIO 340: General Genetics,Arizona State University,"AZ, USA",2020,2020,Served as TA during Fall 2020 term,,
teaching_positions,TRUE,BIO 181: General Biology I,Arizona State University,"AZ, USA",2021,2021,Served as TA during multiple terms,,
teaching_positions,TRUE,3802 - Field Biology,Federal University of Sao Paulo (UNIFESP),"Sao Paulo, Brazil",2017,2017,Served as TA during Fall 2017 term,,
academic_articles,TRUE,"[Padilla Perez, D.J.](https://dylanpadilla.netlify.app/), (2024). Geographic and seasonal variation of the _for_ gene reveal signatures of local adaptation in _Drosophila melanogaster_. _Journal of Evolutionary Biology_, In Press. doi: https://doi.org/10.1101/2023.02.19.529142",N/A,N/A,2024,2024,,NA,NA
academic_articles,TRUE,"[Padilla Perez, D.J.](https://dylanpadilla.netlify.app/), DeNardo, D.F., Angilletta Jr., M.J. (2022). The correlated evolution of foraging mode and reproductive effort in lizards. _Proc. R. Soc. B_ 289: 20220180. https://doi.org/10.1098/rspb.2022.0180",N/A,N/A,2022,2022,,NA,NA
academic_articles,TRUE,"[Padilla Perez, D.J.](https://dylanpadilla.netlify.app/), Angilletta Jr., M.J. (2022). Macroclimatic and maternal effects on the evolution of reproductive traits in lizards. _Ecology and Evolution_, 12, e8885. https://doi.org/10.1002/ece3.8885",,N/A,2022,2022,,NA,NA
academic_articles,TRUE,"[Padilla Perez, D.J.](https://dylanpadilla.netlify.app/), de Carvalho, J.E., Navas, C.A. (2021). Effects of food intake and hydration state on behavioral thermoregulation and locomotor activity in the tropidurid lizard _Tropidurus catalanensis_._Journal of Experimental Biology_, 224 (6). https://doi.org/10.1242/jeb.242199",,N/A,2021,2021,,NA,NA
academic_articles,TRUE,"Logan M.L., ...,  [Padilla Perez, D.J.](https://dylanpadilla.netlify.app/), ... , Cox, C.L. (2020). Sex-specific microhabitat use is associated with sex-biased thermal physiology in Anolis lizards. _Journal of Experimental Biology_, 224(2). https://doi.org/10.1242/jeb.235697",,,2020,2020,,Successfully met qualifying examination standards,NA
academic_articles,TRUE,"Cox, C.L., ..., [Padilla Perez, D.J.](https://dylanpadilla.netlify.app/), ..., Logan, M.L. (2020). Ectoparasite extinction in simplified assemblages during experimental island invasion. _Biol. Lett._, 16(8), 20200474. doi: http://dx.doi.org/10.1098/rsbl.2020.0474",,N/A,2020,2020,,NA,NA
academic_articles,TRUE,"Graham, Z.A., [Padilla Perez, D.J.](https://dylanpadilla.netlify.app/), Angilletta Jr., M.J. (2020). Virile crayfish escalate aggression according to body size instead of weapon size. _Animal Behaviour_, 163, 9-15. doi: https://doi.org/10.1016/j.anbehav.2020.02.014",,N/A,2020,2020,,NA,NA
academic_articles,TRUE,"Vimmerstedt, J.C., [Padilla Perez, D.J.](https://dylanpadilla.netlify.app/), Angilletta Jr., MJ, VandenBrooks, J.M. (2019). Oxygen supply limits the heat tolerance of avian embryos. _Biol. Lett._, 15(11), 20190566. doi: http://dx.doi.org/10.1098/rsbl.2019.0566",,N/A,2019,2019,,NA,NA
academic_articles,TRUE,"[Padilla Perez, D.J.](https://dylanpadilla.netlify.app/), Murillo Monsalve, J.D., Rincon Baron, E.J., Daza, J.M. (2015). Non-specialized caudal pseudoautotomy in the Emerald Racer snake _Drymobius rhombifer_ (Gunther, 1860). _Herpetology Notes_, 8, 567-569.",,N/A,2015,2015,,NA,NA
data_grant,TRUE,GPSA Travel Grant Program,Arizona State University,"AZ, USA",2022,2022,"Resources for participating in the Congress of the European Society for Evolutionary Biology, August 14-19, 2022. Prague congress Centre.",US$950,
data_grant,TRUE,"Grant #2018/17251--0, Sao Paulo Research Foundation",Federal University of Sao Paulo (UNIFESP),"Sao Paulo, Brazil",2018,2019,Project: What drives the evolution of dorsal coloration in tropidurid lizards?,"US$12,106",
data_grant,TRUE,"Grant #2017/21747--8, Sao Paulo Research Foundation",Federal University of Sao Paulo (UNIFESP),"Sao Paulo, Brazil",2018,2019,Project: Effects of food intake and the hydration state on behavioral thermoregulation in the tropidurid lizard _Tropidurus catalanensis_,"US$4,708",
data_grant,TRUE,"Young investigator and innovator for peace, Colciencias",Universidad del Atlantico,"Barranquilla, Colombia",2017,2017,"Project: Diversity, distribution and some topics on the behavior of frugivorous butterflies in zones of post-conflict in the Colombian Caribbean","US$8,500",
data_grant,TRUE,"Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior, CAPES",Federal University of Sao Paulo (UNIFESP),"Sao Paulo, Brazil",2016,2018,Project: Effects of food intake and the hydration state on behavioral thermoregulation in the tropidurid lizard _Tropidurus catalanensis_,"US$5,053",
data_talks,TRUE,"[Padilla Perez, D.J.](https://dylanpadilla.netlify.app/), Liam Revell, and Michael Angilletta. Gene copy number promotes the rapid evolution of pests across Diptera.",TAGC24 (Mar 06-10),"Washington, D.C.",2024,2024,https://dylan-padilla.github.io/TAGC24-poster/,Poster,
data_talks,TRUE,"[Padilla Perez, D.J.](https://dylanpadilla.netlify.app/) The population genetics of foraging behavior.",Evolution 2023 (Jun 21-25),"Albuquerque, NM",2023,2023,https://dylan-padilla.github.io/EVO2023/,Poster,
data_talks,TRUE,"[Padilla Perez, D.J.](https://dylanpadilla.netlify.app/) Challenging the foraging mode paradigm: a case study of lizards.",Herp group 2023 (Apr 28),"Phoenix, AZ",2023,2023,Invited speaker,https://dylan-padilla.github.io/herp-group2023/#1,
data_talks,TRUE,Workshop on Genomics.,Cesky Krumlov (May 14-21),Czech Republic,2023,2023,,,
